SEEDGWAS2078id	general_identifier	number	name	bank_number	breeders_code	subtaxa_id...7	taxonomy_id	institution_id	breeder_id	plant_passport	donor_code	donor_number	acqdate	collnumb	colldate	collcode	duplsite	biologicalstatus_id	collsrc_id	location_id	created_on	updated_on	locations_id	locations_state	locations_region	locations_site_name	locations_elevation	locations_latitude	locations_longitude	countries_id	countries_country_code2	countries_country_code3	countries_country_name	subtaxa_id...35	subtaxa_subtaxa_author	subtaxa_taxonomic_identifier	taxonomies_id	taxonomies_genus	taxonomies_species	taxonomies_species_author	taxonomies_crop_name	taxonomies_ploidy	Sample ID of DNA from composite samples	Sample ID of DNA from original CMLs	Sample ID of DNA from most recent CML regenerations	Sample ID for DNA from intermediate CML regenerations	Sample ID of DNA from single plants used in GWAS	Tester GID	Tester pedigree	Testcross GID	PrimaryRace	PrimaryPurity	SecondaryRace	Pedigree	GrainType1	GrainType2	GrainType3	GrainColor1	GrainColor2	GrainColor3	PopulationType	flowering_season_start	growing_season_start	X.unlist.strsplit.pca_sample_names....n....
34	592	NA	592	CIMMYTMA-BANK-000080	NA	NA	2	NA	NA	NA	NA	NA	NA	PUEBGP11	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:30Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV732	NA	NA	NA	SEEDGWAS4280	242917	CML457/CML459	276020	CONICO	NA	PEPITI	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS4280
35	595	NA	595	CIMMYTMA-BANK-000081	NA	NA	2	NA	NA	NA	NA	NA	NA	PUEBGP12	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:31Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1311	NA	NA	NA	SEEDGWAS4959	242917	CML457/CML459	275889	CONICO	NA	NA	NA	Dent	NA	NA	Red	Yellow	White	Group	NA	NA	SEEDGWAS4959
36	726	NA	726	CIMMYTMA-BANK-000083	NA	NA	2	NA	NA	NA	NA	NA	NA	PUEB102	1944-01-01	NA	NA	NA	NA	8375	2014-11-24T15:10:31Z	NA	8375	NA	NA	SAN PEDRO CHAPULCO	2007	18.627026	-97.407682	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV881	NA	NA	NA	SEEDGWAS2670	242917	CML457/CML459	268176	ELOTCO	NA	NA	NA	Floury	NA	NA	Blue	Sun red	NA	Collection	NA	NA	SEEDGWAS2670
37	737	NA	737	CIMMYTMA-BANK-000086	NA	NA	2	NA	NA	NA	NA	NA	NA	PUEB194	1952-01-22	NA	NA	NA	NA	9195	2014-11-24T15:10:31Z	NA	9195	NA	NA	TEHUITZINGO	1053	18.33333333	-98.3	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1313	NA	NA	NA	SEEDGWAS3374	242917	CML457/CML459	240168	PEPITI	NA	PEPITI	NA	Floury	NA	NA	Red	Blue	NA	Collection	NA	NA	SEEDGWAS3374
38	738	NA	738	CIMMYTMA-BANK-000088	NA	NA	2	NA	NA	NA	NA	NA	NA	PUEB209	1952-01-31	NA	NA	NA	NA	7999	2014-11-24T15:10:31Z	NA	7999	NA	NA	SAN GABRIEL CHILAC	1256	18.334624	-97.353287	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1315	NA	NA	NA	SEEDGWAS4039	242916	CML451/CML486	240836	TUXPEN	NA	CHALQU	NA	Floury	Dent	NA	Red	White	Blue	Collection	NA	NA	SEEDGWAS4039
39	747	NA	747	CIMMYTMA-BANK-000094	NA	NA	2	NA	NA	NA	NA	NA	NA	PUEBGP25	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:31Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1316	NA	NA	NA	SEEDGWAS2307	242917	CML457/CML459	275827	CHALQU	NA	NA	NA	Dent	NA	NA	White	NA	NA	Group	NA	NA	SEEDGWAS2307
40	749	NA	749	CIMMYTMA-BANK-000096	NA	NA	2	NA	NA	NA	NA	NA	NA	PUEBGP27	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:31Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1317	NA	NA	NA	SEEDGWAS2	242919	CML495/CML494	241072	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS2
42	807	NA	807	CIMMYTMA-BANK-000101	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA58	1946-01-01	NA	NA	NA	NA	7581	2014-11-24T15:10:31Z	NA	7581	NA	NILTEPEC	RIO GRANDE	74	16.58333333	-94.6	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1320	NA	NA	NA	SEEDGWAS2075	242913	CML269/CML264	268282	CONICO	NA	NA	NA	Dent	NA	NA	Yellow	White	Sun red	Collection	NA	NA	SEEDGWAS2075
43	814	NA	814	CIMMYTMA-BANK-000102	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXAGP5	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:31Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1321	NA	NA	NA	SEEDGWAS3	242919	CML495/CML494	241073	CONICO	NA	VANDEN	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS3
45	819	NA	819	CIMMYTMA-BANK-000104	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXAGP7	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:32Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1323	NA	NA	NA	SEEDGWAS590	242919	CML495/CML494	241660	CONICO	NA	NA	NA	Dent	NA	NA	White	Yellow	Blue	Group	NA	NA	SEEDGWAS590
